,trip,Median Duration (mins),Median time of day,public_duration
0,"40.6610633719006,-73.97945255041121|40.6610633719006,-73.97945255041121",23.3,0 days 16:00:00.000000000,
1,"40.6610633719006,-73.97945255041121|40.6729679,-73.97087984",7.65,0 days 14:00:00.000000000,
2,"40.663779,-73.98396846|40.6662078,-73.98199886",1.5666666666666667,0 days 09:00:00.000000000,
3,"40.668132,-73.97363831|40.6610633719006,-73.97945255041121",4.9,0 days 16:00:00.000000000,
4,"40.668132,-73.97363831|40.668132,-73.97363831",21.933333333333334,0 days 14:00:00.000000000,
5,"40.668132,-73.97363831|40.67502070000001,-73.97111473",3.8333333333333335,0 days 08:00:00.000000000,
6,"40.67038370000001,-73.97839676|40.67716489469059,-73.97382795810701",4.333333333333333,0 days 09:00:00.000000000,
7,"40.67077670000001,-73.9576801|40.6765198,-73.9596082",4.083333333333333,0 days 19:00:00.000000000,
8,"40.6711978,-73.97484126|40.67716489469059,-73.97382795810701",3.7083333333333335,0 days 09:00:00.000000000,
9,"40.6729679,-73.97087984|40.6610633719006,-73.97945255041121",7.85,0 days 15:00:00.000000000,
10,"40.6729679,-73.97087984|40.6729679,-73.97087984",26.466666666666665,0 days 15:00:00.000000000,
11,"40.67502070000001,-73.97111473|40.6610633719006,-73.97945255041121",8.483333333333333,0 days 17:00:00.000000000,
12,"40.67502070000001,-73.97111473|40.66514681533792,-73.97637605667114",6.25,0 days 18:00:00.000000000,
13,"40.67502070000001,-73.97111473|40.668132,-73.97363831",4.55,0 days 17:00:00.000000000,
14,"40.67502070000001,-73.97111473|40.6711978,-73.97484126",4.133333333333334,0 days 17:00:00.000000000,
15,"40.6758324,-73.95616770000002|40.67077670000001,-73.9576801",3.1333333333333333,0 days 08:00:00.000000000,
16,"40.67716489469059,-73.97382795810701|40.67038370000001,-73.97839676",4.25,0 days 16:00:00.000000000,
17,"40.6772744,-73.98282002|40.68312489,-73.97895137",3.4,0 days 08:00:00.000000000,
18,"40.67927879999999,-73.98154004|40.68312489,-73.97895137",2.5833333333333335,0 days 09:00:00.000000000,
19,"40.680611,-73.99475825|40.6867443,-73.99063168",3.95,0 days 11:00:00.000000000,
20,"40.6809833854,-73.9500479759|40.68236870000001,-73.944118",3.075,0 days 18:00:00.000000000,
21,"40.6809833854,-73.9500479759|40.6851532,-73.94111",5.466666666666667,0 days 18:00:00.000000000,
22,"40.6809833854,-73.9500479759|40.686203000000006,-73.944694",4.783333333333333,0 days 18:00:00.000000000,
23,"40.68236870000001,-73.944118|40.6809833854,-73.9500479759",2.9833333333333334,0 days 09:00:00.000000000,
24,"40.6828003,-73.99990419|40.680611,-73.99475825",2.716666666666667,0 days 09:00:00.000000000,
25,"40.6830456,-74.00348559|40.680611,-73.99475825",5.316666666666666,0 days 09:00:00.000000000,
26,"40.6831164,-73.99785267|40.69239502,-73.99337909",5.25,0 days 08:00:00.000000000,
27,"40.68323865460341,-73.96599590778352|40.68506807308177,-73.97790759801863",4.733333333333333,0 days 09:00:00.000000000,
28,"40.68415748,-73.96922273|40.68506807308177,-73.97790759801863",3.3666666666666667,0 days 09:00:00.000000000,
29,"40.6847514,-73.99917254|40.680611,-73.99475825",3.933333333333333,0 days 09:00:00.000000000,
30,"40.6847514,-73.99917254|40.6867443,-73.99063168",4.883333333333334,0 days 10:00:00.000000000,
31,"40.6847514,-73.99917254|40.69239502,-73.99337909",5.683333333333334,0 days 08:00:00.000000000,
32,"40.68506807308177,-73.97790759801863|40.69236178,-73.98631746",6.683333333333334,0 days 08:00:00.000000000,
33,"40.68512559515415,-74.02535319328308|40.69231660719192,-74.01486575603484",16.05,0 days 15:00:00.000000000,
34,"40.6851532,-73.94111|40.6809833854,-73.9500479759",5.4,0 days 08:00:00.000000000,
35,"40.6859296,-74.00242364|40.69165183,-73.99997859999998",3.15,0 days 11:00:00.000000000,
36,"40.6861758,-73.99645295|40.69239502,-73.99337909",4.291666666666667,0 days 08:00:00.000000000,
