,NonSub,FROM STATION NAME,TO STATION NAME,NonSub_Trip_Duration,NonSub_Trip,NonSub_Start_Lat,NonSub_Start_Long,NonSub_End_Lat,NonSub_End_Long,NonSub_Median_Duration_Mins,NonSub_Median_Unix_StartTime,NonSub_Size,NonSub_Median_Timestamp
0,45,Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,18.5,"41.880958,-87.616743|41.892278000000005,-87.612043",41.880958,-87.616743,41.892278000000005,-87.612043,18.175,1495367010,1230,2017-05-21 11:43:30
1,96,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,5.283333333,"41.892278000000005,-87.612043|41.892278000000005,-87.612043",41.892278000000005,-87.612043,41.892278000000005,-87.612043,30.76666667,1495456920,901,2017-05-22 12:42:00
2,13,Lake Shore Dr & Monroe St,Lake Shore Dr & Monroe St,16.55,"41.880958,-87.616743|41.880958,-87.616743",41.880958,-87.616743,41.880958,-87.616743,35.11666667,1495127820,667,2017-05-18 17:17:00
3,68,Streeter Dr & Grand Ave,Lake Shore Dr & North Blvd,26.41666667,"41.892278000000005,-87.612043|41.911722,-87.626804",41.892278000000005,-87.612043,41.911722,-87.626804,21.48333333,1495764120,646,2017-05-26 02:02:00
4,101,Streeter Dr & Grand Ave,Lake Shore Dr & Monroe St,19.46666667,"41.892278000000005,-87.612043|41.880958,-87.616743",41.892278000000005,-87.612043,41.880958,-87.616743,15.26666667,1495364640,635,2017-05-21 11:04:00
5,78,Lake Shore Dr & North Blvd,Streeter Dr & Grand Ave,17.7,"41.911722,-87.626804|41.892278000000005,-87.612043",41.911722,-87.626804,41.892278000000005,-87.612043,17.78333333,1495805700,600,2017-05-26 13:35:00
6,338,Streeter Dr & Grand Ave,Theater on the Lake,17.21666667,"41.892278000000005,-87.612043|41.926277,-87.630834",41.892278000000005,-87.612043,41.926277,-87.630834,24.81666667,1495448340,559,2017-05-22 10:19:00
7,130,Theater on the Lake,Streeter Dr & Grand Ave,15.28333333,"41.926277,-87.630834|41.892278000000005,-87.612043",41.926277,-87.630834,41.892278000000005,-87.612043,23.75833333,1495450860,456,2017-05-22 11:01:00
8,120,Dusable Harbor,Streeter Dr & Grand Ave,15.83333333,"41.88504199,-87.61279454|41.892278000000005,-87.612043",41.88504199,-87.61279454,41.892278000000005,-87.612043,16.66666667,1495803510,372,2017-05-26 12:58:30
9,296,Streeter Dr & Grand Ave,Millennium Park,16.95,"41.892278000000005,-87.612043|41.8810317,-87.62408432",41.892278000000005,-87.612043,41.8810317,-87.62408432,22.98333333,1495384080,357,2017-05-21 16:28:00
10,24,Streeter Dr & Grand Ave,Michigan Ave & Oak St,9.916666667000001,"41.892278000000005,-87.612043|41.90096039,-87.62377664",41.892278000000005,-87.612043,41.90096039,-87.62377664,18.18333333,1495383060,343,2017-05-21 16:11:00
11,108,Michigan Ave & Oak St,Michigan Ave & Oak St,23.55,"41.90096039,-87.62377664|41.90096039,-87.62377664",41.90096039,-87.62377664,41.90096039,-87.62377664,50.625,1494977190,340,2017-05-16 23:26:30
12,22,Shedd Aquarium,Lake Shore Dr & Monroe St,13.48333333,"41.86722596,-87.61535539|41.880958,-87.616743",41.86722596,-87.61535539,41.880958,-87.616743,18.06666667,1495379220,337,2017-05-21 15:07:00
13,263,Lake Shore Dr & Monroe St,Adler Planetarium,29.8,"41.880958,-87.616743|41.866095,-87.60726700000001",41.880958,-87.616743,41.866095,-87.60726700000001,20.95,1495423530,318,2017-05-22 03:25:30
14,166,Adler Planetarium,Lake Shore Dr & Monroe St,23.88333333,"41.866095,-87.60726700000001|41.880958,-87.616743",41.866095,-87.60726700000001,41.880958,-87.616743,20.63333333,1495386060,316,2017-05-21 17:01:00
15,70,Lake Shore Dr & Monroe St,Shedd Aquarium,42.76666667,"41.880958,-87.616743|41.86722596,-87.61535539",41.880958,-87.616743,41.86722596,-87.61535539,19.05,1495293660,313,2017-05-20 15:21:00
