,Trip_Duration,Trip,Start_Coords,End_Coords,Median_Duration_Mins,Median_Unix_StartTime,Size,Public_Duration
45,18.5,"41.880958,-87.616743|41.892278000000005,-87.612043","41.880958,-87.616743","41.892278000000005,-87.612043",18.175,1495367010,1230,
96,5.283333333333333,"41.892278000000005,-87.612043|41.892278000000005,-87.612043","41.892278000000005,-87.612043","41.892278000000005,-87.612043",30.766666666666666,1495456920,901,
13,16.55,"41.880958,-87.616743|41.880958,-87.616743","41.880958,-87.616743","41.880958,-87.616743",35.11666666666667,1495127820,667,
68,26.41666666666667,"41.892278000000005,-87.612043|41.911722,-87.626804","41.892278000000005,-87.612043","41.911722,-87.626804",21.48333333333333,1495764120,646,
101,19.466666666666665,"41.892278000000005,-87.612043|41.880958,-87.616743","41.892278000000005,-87.612043","41.880958,-87.616743",15.266666666666667,1495364640,635,
78,17.7,"41.911722,-87.626804|41.892278000000005,-87.612043","41.911722,-87.626804","41.892278000000005,-87.612043",17.783333333333335,1495805700,600,
338,17.216666666666665,"41.892278000000005,-87.612043|41.926277,-87.630834","41.892278000000005,-87.612043","41.926277,-87.630834",24.816666666666666,1495448340,559,
130,15.283333333333333,"41.926277,-87.630834|41.892278000000005,-87.612043","41.926277,-87.630834","41.892278000000005,-87.612043",23.75833333333333,1495450860,456,
120,15.833333333333336,"41.88504199,-87.61279454|41.892278000000005,-87.612043","41.88504199,-87.61279454","41.892278000000005,-87.612043",16.666666666666664,1495803510,372,
296,16.95,"41.892278000000005,-87.612043|41.8810317,-87.62408432","41.892278000000005,-87.612043","41.8810317,-87.62408432",22.98333333333333,1495384080,357,
24,9.916666666666666,"41.892278000000005,-87.612043|41.90096039,-87.62377664","41.892278000000005,-87.612043","41.90096039,-87.62377664",18.183333333333334,1495383060,343,
108,23.55,"41.90096039,-87.62377664|41.90096039,-87.62377664","41.90096039,-87.62377664","41.90096039,-87.62377664",50.625,1494977190,340,
22,13.483333333333333,"41.86722596,-87.61535539|41.880958,-87.616743","41.86722596,-87.61535539","41.880958,-87.616743",18.066666666666666,1495379220,337,
263,29.8,"41.880958,-87.616743|41.866095,-87.60726700000001","41.880958,-87.616743","41.866095,-87.60726700000001",20.95,1495423530,318,
166,23.88333333333333,"41.866095,-87.60726700000001|41.880958,-87.616743","41.866095,-87.60726700000001","41.880958,-87.616743",20.633333333333333,1495386060,316,
70,42.766666666666666,"41.880958,-87.616743|41.86722596,-87.61535539","41.880958,-87.616743","41.86722596,-87.61535539",19.05,1495293660,313,
502,29.566666666666666,"41.90096039,-87.62377664|41.892278000000005,-87.612043","41.90096039,-87.62377664","41.892278000000005,-87.612043",17.75,1495368990,292,
380,22.66666666666667,"41.8810317,-87.62408432|41.892278000000005,-87.612043","41.8810317,-87.62408432","41.892278000000005,-87.612043",25.43333333333333,1495530150,288,
381,35.6,"41.86722596,-87.61535539|41.892278000000005,-87.612043","41.86722596,-87.61535539","41.892278000000005,-87.612043",27.78333333333333,1495381140,273,
39,47.18333333333333,"41.90096039,-87.62377664|41.926277,-87.630834","41.90096039,-87.62377664","41.926277,-87.630834",22.916666666666664,1494934860,250,
171,14.666666666666664,"41.856268,-87.613348|41.880958,-87.616743","41.856268,-87.613348","41.880958,-87.616743",19.9,1495385580,249,
357,15.2,"41.892278000000005,-87.612043|41.86722596,-87.61535539","41.892278000000005,-87.612043","41.86722596,-87.61535539",25.375,1495213620,244,
79,67.53333333333333,"41.8810317,-87.62408432|41.8810317,-87.62408432","41.8810317,-87.62408432","41.8810317,-87.62408432",37.95,1495297980,241,
382,21.53333333333333,"41.86722596,-87.61535539|41.86722596,-87.61535539","41.86722596,-87.61535539","41.86722596,-87.61535539",25.25,1495376700,235,
350,32.93333333333333,"41.911722,-87.626804|41.911722,-87.626804","41.911722,-87.626804","41.911722,-87.626804",26.8,1495469970,232,
615,250.55,"41.963982,-87.638181|41.963982,-87.638181","41.963982,-87.638181","41.963982,-87.638181",37.52500000000001,1495379100,230,
370,22.36666666666667,"41.86722596,-87.61535539|41.8810317,-87.62408432","41.86722596,-87.61535539","41.8810317,-87.62408432",21.225,1495314300,228,
679,1.1166666666666667,"41.866095,-87.60726700000001|41.866095,-87.60726700000001","41.866095,-87.60726700000001","41.866095,-87.60726700000001",27.68333333333333,1495464960,205,
553,53.78333333333333,"41.926277,-87.630834|41.926277,-87.630834","41.926277,-87.630834","41.926277,-87.630834",30.175,1495307640,202,
279,7.133333333333334,"41.88504199,-87.61279454|41.880958,-87.616743","41.88504199,-87.61279454","41.880958,-87.616743",18.733333333333334,1495380180,191,
573,9.3,"41.8810317,-87.62408432|41.880958,-87.616743","41.8810317,-87.62408432","41.880958,-87.616743",22.916666666666664,1495471740,190,
367,33.15,"41.866095,-87.60726700000001|41.892278000000005,-87.612043","41.866095,-87.60726700000001","41.892278000000005,-87.612043",29.18333333333333,1495889400,190,
321,22.2,"41.8810317,-87.62408432|41.86722596,-87.61535539","41.8810317,-87.62408432","41.86722596,-87.61535539",22.63333333333333,1495294080,189,
65,3.6166666666666663,"41.86722596,-87.61535539|41.866095,-87.60726700000001","41.86722596,-87.61535539","41.866095,-87.60726700000001",14.358333333333334,1495118100,188,
61,11.933333333333335,"41.884728,-87.61952099999999|41.892278000000005,-87.612043","41.884728,-87.61952099999999","41.892278000000005,-87.612043",24.016666666666666,1495119240,177,
403,9.666666666666666,"41.892278000000005,-87.612043|41.891738000000004,-87.626937","41.892278000000005,-87.612043","41.891738000000004,-87.626937",12.35,1495420770,170,
925,51.2,"41.880958,-87.616743|41.856268,-87.613348","41.880958,-87.616743","41.856268,-87.613348",20.8,1495367880,170,
58,19.03333333333333,"41.926277,-87.630834|41.90096039,-87.62377664","41.926277,-87.630834","41.90096039,-87.62377664",22.10833333333333,1495145550,170,
1971,35.48333333333333,"41.880958,-87.616743|41.911722,-87.626804","41.880958,-87.616743","41.911722,-87.626804",29.33333333333333,1495727340,163,
599,11.516666666666667,"41.880958,-87.616743|41.8810317,-87.62408432","41.880958,-87.616743","41.8810317,-87.62408432",24.016666666666666,1495293060,161,
623,14.15,"41.911722,-87.626804|41.926277,-87.630834","41.911722,-87.626804","41.926277,-87.630834",18.983333333333334,1495727520,149,
331,17.85,"41.926277,-87.630834|41.911722,-87.626804","41.926277,-87.630834","41.911722,-87.626804",20.566666666666666,1495456200,148,
135,7.166666666666668,"41.891020000000005,-87.6173|41.892278000000005,-87.612043","41.891020000000005,-87.6173","41.892278000000005,-87.612043",10.45,1495294800,145,
618,15.716666666666667,"41.911722,-87.626804|41.90096039,-87.62377664","41.911722,-87.626804","41.90096039,-87.62377664",15.108333333333334,1495133400,144,
206,16.35,"41.866095,-87.60726700000001|41.86722596,-87.61535539","41.866095,-87.60726700000001","41.86722596,-87.61535539",11.916666666666664,1495380900,144,
66,25.15,"41.963982,-87.638181|41.926277,-87.630834","41.963982,-87.638181","41.926277,-87.630834",26.03333333333333,1495453680,142,
212,5.35,"41.892278000000005,-87.612043|41.89186,-87.62062","41.892278000000005,-87.612043","41.89186,-87.62062",14.35,1495369740,141,
131,26.63333333333333,"41.880958,-87.616743|41.88504199,-87.61279454","41.880958,-87.616743","41.88504199,-87.61279454",22.73333333333333,1495638060,139,
106,29.48333333333333,"41.926277,-87.630834|41.963982,-87.638181","41.926277,-87.630834","41.963982,-87.638181",27.075,1495079370,138,
593,27.35,"41.880958,-87.616743|41.90096039,-87.62377664","41.880958,-87.616743","41.90096039,-87.62377664",25.8,1494849060,133,
