,Subs,FROM STATION NAME,TO STATION NAME,Subs_Trip_Duration,Subs_Trip,Subs_Start_Coords,Subs_End_Coords,Subs_Median_Duration_Mins,Subs_Median_Unix_StartTime,Subs_Median_Age,Subs_Size,Subs_Median_Timestamp
0,436,Canal St & Madison St,Michigan Ave & Washington St,5.7,"41.882090999999996,-87.639833|41.88389277,-87.62464914","41.882090999999996,-87.639833","41.88389277,-87.62464914",7.291666667,1494835500,30.0,286,2017-05-15 08:05:00
1,685,Wacker Dr & Washington St,Michigan Ave & Washington St,5.0,"41.88327159,-87.63731329|41.88389277,-87.62464914","41.88327159,-87.63731329","41.88389277,-87.62464914",6.2,1494919260,32.0,259,2017-05-16 07:21:00
2,68,MLK Jr Dr & 29th St,State St & 33rd St,6.583333333,"41.842052,-87.617|41.834734000000005,-87.625813","41.842052,-87.617","41.834734000000005,-87.625813",8.208333332999999,1495117590,51.5,238,2017-05-18 14:26:30
3,379,Columbus Dr & Randolph St,Clinton St & Washington Blvd,9.666666667000001,"41.884728,-87.61952099999999|41.883379999999995,-87.64116999999999","41.884728,-87.61952099999999","41.883379999999995,-87.64116999999999",9.2,1494950040,31.0,231,2017-05-16 15:54:00
4,6098,Streeter Dr & Grand Ave,Theater on the Lake,15.63333333,"41.892278000000005,-87.612043|41.926277,-87.630834","41.892278000000005,-87.612043","41.926277,-87.630834",19.01666667,1495185600,36.0,207,2017-05-19 09:20:00
5,2375,Fort Dearborn Dr & 31st St,Burnham Harbor,10.56666667,"41.838556,-87.60821800000001|41.856268,-87.613348","41.838556,-87.60821800000001","41.856268,-87.613348",13.08333333,1495382160,45.0,205,2017-05-21 15:56:00
6,5,State St & 33rd St,MLK Jr Dr & 29th St,9.416666667000001,"41.834734000000005,-87.625813|41.842052,-87.617","41.834734000000005,-87.625813","41.842052,-87.617",8.766666667,1494950040,47.0,199,2017-05-16 15:54:00
7,411,Michigan Ave & Washington St,Clinton St & Washington Blvd,5.6333333329999995,"41.88389277,-87.62464914|41.883379999999995,-87.64116999999999","41.88389277,-87.62464914","41.883379999999995,-87.64116999999999",7.8833333329999995,1494955320,32.0,194,2017-05-16 17:22:00
8,288,Clinton St & Washington Blvd,Michigan Ave & Washington St,5.466666667,"41.883379999999995,-87.64116999999999|41.88389277,-87.62464914","41.883379999999995,-87.64116999999999","41.88389277,-87.62464914",7.9,1494920190,33.0,192,2017-05-16 07:36:30
9,1447,Columbus Dr & Randolph St,Canal St & Madison St,10.38333333,"41.884728,-87.61952099999999|41.882090999999996,-87.639833","41.884728,-87.61952099999999","41.882090999999996,-87.639833",9.333333332999999,1494936720,28.0,189,2017-05-16 12:12:00
10,712,Indiana Ave & Roosevelt Rd,Michigan Ave & Jackson Blvd,5.833333333,"41.867888,-87.623041|41.87785,-87.62408","41.867888,-87.623041","41.87785,-87.62408",6.333333333,1495008240,29.0,174,2017-05-17 08:04:00
11,1304,Wabash Ave & Roosevelt Rd,Wabash Ave & 16th St,4.533333333,"41.867227,-87.625961|41.860384,-87.625813","41.867227,-87.625961","41.860384,-87.625813",3.25,1494901170,43.0,172,2017-05-16 02:19:30
12,273,Canal St & Adams St,Michigan Ave & Washington St,7.75,"41.879255,-87.639904|41.88389277,-87.62464914","41.879255,-87.639904","41.88389277,-87.62464914",8.883333333,1494878520,78.0,170,2017-05-15 20:02:00
13,184,Clinton St & Washington Blvd,St. Clair St & Erie St,10.73333333,"41.883379999999995,-87.64116999999999|41.894448,-87.622663","41.883379999999995,-87.64116999999999","41.894448,-87.622663",12.86666667,1494838860,29.0,167,2017-05-15 09:01:00
14,601,Calumet Ave & 33rd St,State St & 33rd St,3.5333333330000003,"41.8349,-87.61793|41.834734000000005,-87.625813","41.8349,-87.61793","41.834734000000005,-87.625813",3.616666667,1494751500,32.0,167,2017-05-14 08:45:00
