,TO STATION NAME,Trip_Duration,Trip,Start_Coords,End_Coords,Median_Duration_Mins,Median_Unix_StartTime,Median_Age,Size,Public_Duration
436,Michigan Ave & Washington St,5.7,"41.882090999999996,-87.639833|41.88389277,-87.62464914","41.882090999999996,-87.639833","41.88389277,-87.62464914",7.291666666666666,1494835500,30.0,286,
685,Michigan Ave & Washington St,5.0,"41.88327159,-87.63731329|41.88389277,-87.62464914","41.88327159,-87.63731329","41.88389277,-87.62464914",6.2,1494919260,32.0,259,
68,State St & 33rd St,6.583333333333332,"41.842052,-87.617|41.834734000000005,-87.625813","41.842052,-87.617","41.834734000000005,-87.625813",8.208333333333332,1495117590,51.5,238,
379,Clinton St & Washington Blvd,9.666666666666666,"41.884728,-87.61952099999999|41.883379999999995,-87.64116999999999","41.884728,-87.61952099999999","41.883379999999995,-87.64116999999999",9.2,1494950040,31.0,231,
6098,Theater on the Lake,15.633333333333333,"41.892278000000005,-87.612043|41.926277,-87.630834","41.892278000000005,-87.612043","41.926277,-87.630834",19.016666666666666,1495185600,36.0,207,
2375,Burnham Harbor,10.566666666666666,"41.838556,-87.60821800000001|41.856268,-87.613348","41.838556,-87.60821800000001","41.856268,-87.613348",13.083333333333336,1495382160,45.0,205,
5,MLK Jr Dr & 29th St,9.416666666666666,"41.834734000000005,-87.625813|41.842052,-87.617","41.834734000000005,-87.625813","41.842052,-87.617",8.766666666666667,1494950040,47.0,199,
411,Clinton St & Washington Blvd,5.633333333333334,"41.88389277,-87.62464914|41.883379999999995,-87.64116999999999","41.88389277,-87.62464914","41.883379999999995,-87.64116999999999",7.883333333333334,1494955320,32.0,194,
288,Michigan Ave & Washington St,5.466666666666668,"41.883379999999995,-87.64116999999999|41.88389277,-87.62464914","41.883379999999995,-87.64116999999999","41.88389277,-87.62464914",7.9,1494920190,33.0,192,
1447,Canal St & Madison St,10.383333333333333,"41.884728,-87.61952099999999|41.882090999999996,-87.639833","41.884728,-87.61952099999999","41.882090999999996,-87.639833",9.333333333333334,1494936720,28.0,189,
712,Michigan Ave & Jackson Blvd,5.833333333333332,"41.867888,-87.623041|41.87785,-87.62408","41.867888,-87.623041","41.87785,-87.62408",6.333333333333332,1495008240,29.0,174,
1304,Wabash Ave & 16th St,4.533333333333333,"41.867227,-87.625961|41.860384,-87.625813","41.867227,-87.625961","41.860384,-87.625813",3.25,1494901170,43.0,172,
273,Michigan Ave & Washington St,7.75,"41.879255,-87.639904|41.88389277,-87.62464914","41.879255,-87.639904","41.88389277,-87.62464914",8.883333333333333,1494878520,78.0,170,
184,St. Clair St & Erie St,10.733333333333333,"41.883379999999995,-87.64116999999999|41.894448,-87.622663","41.883379999999995,-87.64116999999999","41.894448,-87.622663",12.866666666666667,1494838860,29.0,167,
