,trip,bike_duration_mins,median_hour,frequency,public_duration_mins,start_coord,end_coord,distance,time_saved
0,"40.6610633719006,-73.97945255041121|40.6729679,-73.97087984",7.65,1531144800,143,19.02,"40.6610633719006,-73.97945255041121","40.6729679,-73.97087984",1567,11.0
1,"40.663779,-73.98396846|40.6662078,-73.98199886",1.57,1531126800,117,4.1,"40.663779,-73.98396846","40.6662078,-73.98199886",344,3.0
2,"40.668132,-73.97363831|40.6610633719006,-73.97945255041121",4.9,1531152000,115,11.65,"40.668132,-73.97363831","40.6610633719006,-73.97945255041121",966,7.0
3,"40.668132,-73.97363831|40.67502070000001,-73.97111473",3.83,1531123200,269,10.67,"40.668132,-73.97363831","40.67502070000001,-73.97111473",891,7.0
4,"40.67038370000001,-73.97839676|40.67716489469059,-73.97382795810701",4.33,1531126800,139,11.12,"40.67038370000001,-73.97839676","40.67716489469059,-73.97382795810701",873,7.0
5,"40.67077670000001,-73.9576801|40.6765198,-73.9596082",4.08,1531162800,140,9.25,"40.67077670000001,-73.9576801","40.6765198,-73.9596082",970,5.0
6,"40.6711978,-73.97484126|40.67716489469059,-73.97382795810701",3.71,1531126800,128,10.38,"40.6711978,-73.97484126","40.67716489469059,-73.97382795810701",841,7.0
7,"40.6729679,-73.97087984|40.6610633719006,-73.97945255041121",7.85,1531148400,130,19.43,"40.6729679,-73.97087984","40.6610633719006,-73.97945255041121",1567,12.0
8,"40.67502070000001,-73.97111473|40.6610633719006,-73.97945255041121",8.48,1531155600,129,22.65,"40.67502070000001,-73.97111473","40.6610633719006,-73.97945255041121",1819,14.0
9,"40.67502070000001,-73.97111473|40.66514681533792,-73.97637605667114",6.25,1531159200,101,16.2,"40.67502070000001,-73.97111473","40.66514681533792,-73.97637605667114",1275,10.0
10,"40.67502070000001,-73.97111473|40.668132,-73.97363831",4.55,1531155600,215,11.45,"40.67502070000001,-73.97111473","40.668132,-73.97363831",891,7.0
11,"40.67502070000001,-73.97111473|40.6711978,-73.97484126",4.13,1531155600,127,7.38,"40.67502070000001,-73.97111473","40.6711978,-73.97484126",591,3.0
12,"40.6758324,-73.95616770000002|40.67077670000001,-73.9576801",3.13,1531123200,165,7.87,"40.6758324,-73.95616770000002","40.67077670000001,-73.9576801",593,5.0
13,"40.67716489469059,-73.97382795810701|40.67038370000001,-73.97839676",4.25,1531152000,153,7.48,"40.67716489469059,-73.97382795810701","40.67038370000001,-73.97839676",962,3.0
14,"40.6772744,-73.98282002|40.68312489,-73.97895137",3.4,1531123200,112,4.3,"40.6772744,-73.98282002","40.68312489,-73.97895137",948,1.0
15,"40.67927879999999,-73.98154004|40.68312489,-73.97895137",2.58,1531126800,146,6.25,"40.67927879999999,-73.98154004","40.68312489,-73.97895137",496,4.0
16,"40.680611,-73.99475825|40.6867443,-73.99063168",3.95,1531134000,101,3.58,"40.680611,-73.99475825","40.6867443,-73.99063168",1236,-0.0
17,"40.6809833854,-73.9500479759|40.68236870000001,-73.944118",3.08,1531159200,158,7.38,"40.6809833854,-73.9500479759","40.68236870000001,-73.944118",600,4.0
18,"40.6809833854,-73.9500479759|40.6851532,-73.94111",5.47,1531159200,123,14.15,"40.6809833854,-73.9500479759","40.6851532,-73.94111",1746,9.0
19,"40.6809833854,-73.9500479759|40.686203000000006,-73.944694",4.78,1531159200,116,12.95,"40.6809833854,-73.9500479759","40.686203000000006,-73.944694",1027,8.0
20,"40.68236870000001,-73.944118|40.6809833854,-73.9500479759",2.98,1531126800,131,7.55,"40.68236870000001,-73.944118","40.6809833854,-73.9500479759",600,5.0
21,"40.6828003,-73.99990419|40.680611,-73.99475825",2.72,1531126800,128,7.12,"40.6828003,-73.99990419","40.680611,-73.99475825",555,4.0
22,"40.6830456,-74.00348559|40.680611,-73.99475825",5.32,1531126800,110,12.57,"40.6830456,-74.00348559","40.680611,-73.99475825",936,7.0
23,"40.6831164,-73.99785267|40.69239502,-73.99337909",5.25,1531123200,147,14.05,"40.6831164,-73.99785267","40.69239502,-73.99337909",1099,9.0
24,"40.68323865460341,-73.96599590778352|40.68506807308177,-73.97790759801863",4.73,1531126800,118,9.2,"40.68323865460341,-73.96599590778352","40.68506807308177,-73.97790759801863",1170,4.0
